Module,Category,Confirmed Action,Unresolved Issue,Directive,Thread Source
MICModule_4,Uncategorized,,,,policy009.txt
PopulationModule_5,Uncategorized,,,,policy009.txt
MigrationModule_5A,Uncategorized,,,,policy009.txt
ChaosEngine_7,Uncategorized,,,,policy009.txt
ReddingtonPersona_8,Uncategorized,,,,policy009.txt
KitProductionSystem_3,Uncategorized,,,,policy009.txt
TurnEngine_Î©,Uncategorized,,,,policy009.txt
RegionModule_1,Uncategorized,,,,policy010.txt
PopulationModule_5,Uncategorized,,,,policy010.txt
GovernanceCycleModule_4,Uncategorized,,,,policy010.txt
